smiles,similarity
"CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
",0.1914519906323185
"O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
",0.19582850521436848
"CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC/C=C/C(=O)OC
",0.19777647747220597
"C#CCN[C@@H]1CCc2ccccc21
",0.19964349376114082
"CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1
",0.2017751479289941
"C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
",0.2022339800117578
"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C[C@@H](O)C[C@@H]1O
",0.20524781341107873
"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@H](C)C(C)C)C[C@@H](O)C[C@@H]1O
",0.2075801749271137
"O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
",0.2088235294117647
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
",0.20957384705195564
"CN1CCC[C@H]1c1cccnc1
",0.2116745283018868
"CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
",0.21357519016968987
"O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
",0.21637426900584794
"O=C(CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1)OCCCCO[N+](=O)[O-]
",0.21705882352941178
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
",0.2176711527208894
"Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
",0.2181500872600349
"O=C1c2c(O)cccc2Cc2cccc(O)c21
",0.21976744186046512
"CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
",0.21982507288629738
"CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
",0.22061378112333527
"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O
",0.22080185938407904
"CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1
",0.22134627046694966
"C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C
",0.222803955788249
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
",0.222803955788249
"CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1
",0.2246987951807229
"N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
",0.22472594397076737
"N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
",0.22711058263971462
"C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O
",0.2271934921557234
"CNCCCC1c2ccccc2C=Cc2ccccc21
",0.2280395578824898
"CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1
",0.22825452422650322
"N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1
",0.22903412377096588
"CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1
",0.2303206997084548
"N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O
",0.23140495867768596
"C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21
",0.23179190751445086
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC
",0.23184195235328298
"CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)c1ccccc1O
",0.23302107728337237
"O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
",0.23348783314020857
"CC(C)(C(=O)c1cccnc1)c1cccnc1
",0.2339556592765461
"Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
",0.23471170646476414
"CC(C)[C@](C#N)(C[C@H](C)N(C)C)c1ccccc1
",0.2361275088547816
"CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2
",0.24025974025974026
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
",0.24099883855981416
"CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
",0.24444444444444444
"CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/C(F)(F)COc1ccccc1
",0.2450753186558517
"N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1
",0.24537037037037038
"N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
",0.2456242707117853
"CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C\CCCC(=O)O)C[C@@H]21
",0.24695652173913044
"Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
",0.2473622508792497
"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
",0.2483927527761543
"Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
",0.24871355060034306
"CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
",0.2502951593860685
"CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
",0.25129384703852786
"OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
",0.251451800232288
"Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
",0.2537485582468281
"Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
",0.2541883304448296
"CN(C)CCCN1c2ccccc2Sc2ccccc21
",0.25535610885929355
"C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N
",0.2593230063109581
"C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
",0.26028985507246377
"COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
",0.2605386416861827
"CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I
",0.26412918108419836
"COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
",0.26554328878558975
"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
",0.26892201834862384
"Clc1ccccc1CN1CCc2sccc2C1
",0.2715193529751589
"CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1
",0.2722602739726027
